# z, qspline(z), derivative(z), integral(z)
3.2 -0.0762037969781034 -1.03944489473435 1.54610402696197
3.25 -0.127586365084127 -1.01585782950659 1.54100435893849
3.3 -0.177789579928762 -0.992270764278835 1.53336504634125
3.35 -0.22681344151201 -0.968683699051075 1.52324505683331
3.4 -0.27465794983387 -0.945096633823316 1.51070335807774
3.45 -0.321323104894341 -0.921509568595557 1.49579891773761
3.5 -0.366808906693425 -0.897922503367798 1.47859070347599
3.55 -0.411115355231121 -0.874335438140038 1.45913768295596
3.6 -0.454242450507429 -0.850748372912279 1.43749882384057
3.65 -0.496190192522348 -0.82716130768452 1.4137330937929
3.69999999999999 -0.53695858127588 -0.80357424245676 1.38789946047602
3.74999999999999 -0.576547616768024 -0.779987177229001 1.360056891553
3.79999999999999 -0.61495729899878 -0.756400112001242 1.33026435468691
3.84999999999999 -0.652187627968148 -0.732813046773482 1.29858081754082
3.89999999999999 -0.688238603676128 -0.709225981545723 1.26506524777779
3.94999999999999 -0.72311022612272 -0.685638916317964 1.22977661306089
3.99999999999999 -0.756802495307924 -0.662051851090204 1.19277388105321
4.04999999999999 -0.788755262683097 -0.616058843916708 1.15412535522694
4.09999999999999 -0.818408379699595 -0.570065836743209 1.11393668229087
4.14999999999999 -0.845761846357418 -0.52407282956971 1.07232284476295
4.19999999999999 -0.870815662656566 -0.478079822396211 1.02939882516111
4.24999999999999 -0.893569828597039 -0.432086815222712 0.985279606003276
4.29999999999999 -0.914024344178837 -0.386093808049214 0.940080169807385
4.34999999999999 -0.93217920940196 -0.340100800875715 0.893915499091371
4.39999999999999 -0.948034424266408 -0.294107793702216 0.846900576373167
4.44999999999999 -0.961589988772181 -0.248114786528717 0.799150384170708
4.49999999999999 -0.97284590291928 -0.202121779355218 0.750779905001927
4.54999999999999 -0.981802166707703 -0.156128772181719 0.701904121384759
4.59999999999999 -0.988458780137451 -0.11013576500822 0.652638015837135
4.64999999999999 -0.992815743208525 -0.0641427578347207 0.603096570876992
4.69999999999999 -0.994873055920923 -0.0181497506612217 0.553394769022261
4.74999999999999 -0.994630718274647 0.0278432565122773 0.503647592790878
4.79999999999999 -0.992088730269696 0.0738362636857762 0.453970024700775
4.84999999999999 -0.98724709190607 0.119829270859275 0.404477047269886
4.89999999999999 -0.980105803183768 0.165822278032774 0.355283643016146
4.94999999999999 -0.970664864102792 0.211815285206273 0.306504794457488
4.99999999999999 -0.958924274663141 0.257808292379772 0.258255484111845
5.04999999999999 -0.944979608833941 0.299978340788216 0.210649101597667
5.09999999999999 -0.92892644058432 0.342148389196659 0.163792664935458
5.14999999999999 -0.910764769914276 0.384318437605102 0.117791599246242
5.19999999999999 -0.890494596823809 0.426488486013545 0.0727513296510383
5.24999999999999 -0.868115921312921 0.468658534421988 0.0287772812708684
5.29999999999999 -0.843628743381611 0.510828582830431 -0.0140251207732465
5.34999999999999 -0.817033063029878 0.552998631238874 -0.0555504513602854
5.39999999999999 -0.788328880257724 0.595168679647317 -0.095693285369227
5.44999999999999 -0.757516195065147 0.63733872805576 -0.13434819767905
5.49999999999999 -0.724595007452148 0.679508776464203 -0.171409763168734
5.54999999999999 -0.689565317418727 0.721678824872646 -0.206772556717258
5.59999999999999 -0.652427124964884 0.763848873281089 -0.2403311532036
5.64999999999999 -0.613180430090618 0.806018921689532 -0.271980127506739
5.69999999999999 -0.571825232795931 0.848188970097975 -0.301614054505654
5.74999999999999 -0.528361533080821 0.890359018506418 -0.329127509079325
5.79999999999999 -0.482789330945289 0.932529066914861 -0.354415066106729
5.84999999999999 -0.435108626389335 0.974699115323304 -0.377371300466846
5.89999999999999 -0.385319419412959 1.01686916373175 -0.397890787038656
5.94999999999999 -0.333421710016161 1.05903921214019 -0.415868100701135
5.99999999999999 -0.279415498198941 1.10120926054863 -0.431197816333264
6.04999999999999 -0.224767053080586 1.08472854418556 -0.443798946632677
6.09999999999999 -0.170942643780385 1.06824782782246 -0.453688255571626
6.14999999999999 -0.11794227029834 1.05176711145937 -0.460906944941018
6.19999999999999 -0.0657659326344487 1.03528639509628 -0.465496216531762
6.24999999999999 -0.0144136307887124 1.01880567873318 -0.467497272134765
6.29999999999999 0.0361146352388693 1.00232496237009 -0.466951313540936
6.34999999999999 0.0858188654482964 0.985844246006998 -0.463899542541181
6.39999999999999 0.134699059839569 0.969363529643906 -0.458383160926409
6.44999999999999 0.182755218412687 0.952882813280813 -0.450443370487527
6.49999999999998 0.22998734116765 0.93640209691772 -0.440121373015443
6.54999999999998 0.276395428104458 0.919921380554627 -0.427458370301065
6.59999999999998 0.321979479223112 0.903440664191534 -0.4124955641353
6.64999999999998 0.366739494523611 0.886959947828441 -0.395274156309056
6.69999999999998 0.410675474005956 0.870479231465348 -0.375835348613241
6.74999999999998 0.453787417670146 0.853998515102256 -0.354220342838763
6.79999999999998 0.496075325516181 0.837517798739163 -0.330470340776529
6.84999999999998 0.537539197544062 0.82103708237607 -0.304626544217448
6.89999999999998 0.578179033753788 0.804556366012977 -0.276730154952426
6.94999999999998 0.617994834145359 0.788075649649884 -0.246822374772372
6.99999999999998 0.656986598718776 0.771594933286791 -0.214944405468193
7.04999999999998 0.69446828716966 0.727672604748581 -0.18114888283587
7.09999999999998 0.729753859193634 0.683750276210362 -0.145534178691676
7.14999999999998 0.762843314790696 0.639827947672143 -0.108210098856955
7.19999999999998 0.793736653960848 0.595905619133924 -0.0692864491530547
7.24999999999998 0.822433876704089 0.551983290595705 -0.0288730354013193
7.29999999999998 0.848934983020418 0.508060962057486 0.0129203365769053
7.34999999999998 0.873239972909837 0.464138633519267 0.0559838609602737
7.39999999999998 0.895348846372345 0.420216304981047 0.10020773192744
7.44999999999998 0.915261603407942 0.376293976442828 0.145482143657059
7.49999999999998 0.932978244016628 0.332371647904609 0.191697290327786
7.54999999999998 0.948498768198402 0.28844931936639 0.238743366118273
7.59999999999998 0.961823175953266 0.244526990828171 0.286510565207177
7.64999999999998 0.972951467281219 0.200604662289952 0.334889081773151
7.69999999999998 0.981883642182261 0.156682333751733 0.38376910999485
7.74999999999998 0.988619700656392 0.112760005213513 0.433040844050928
7.79999999999998 0.993159642703613 0.0688376766752943 0.48259447812004
7.84999999999998 0.995503468323922 0.0249153481370751 0.532320206380841
7.89999999999998 0.99565117751732 -0.019006980401144 0.582108223011984
7.94999999999998 0.993602770283808 -0.0629293089393632 0.631848722192124
7.99999999999998 0.989358246623384 -0.106851637477582 0.681431898099916
8.04999999999998 0.982839694439745 -0.153890449867983 0.730746646379075
8.09999999999998 0.973969201636586 -0.200929262258387 0.779676668533565
8.14999999999998 0.962746768213906 -0.24796807464879 0.82810436753241
8.19999999999998 0.949172394171706 -0.295006887039193 0.875912146344632
8.24999999999998 0.933246079509986 -0.342045699429596 0.922982407939256
8.29999999999998 0.914967824228746 -0.389084511819999 0.969197555285306
8.34999999999998 0.894337628327986 -0.436123324210402 1.01443999135181
